0001,0023,10/06/2024 09:59:05,0002,3900
0002,0014,10/06/2024 10:15:22,0003,5500
0003,0025,10/06/2024 10:45:17,0001,2200
0004,0046,10/06/2024 11:20:39,0004,7400
0005,0123,10/06/2024 11:40:55,0002,3800
0006,0003,10/06/2024 12:05:10,0001,1950
0007,0002,10/06/2024 12:30:48,0003,5100
0008,0001,10/06/2024 13:10:27,0002,3900
0009,0097,10/06/2024 13:45:13,0001,2150
0010,0037,10/06/2024 14:20:59,0005,9000
0011,0023,10/06/2024 14:55:35,0002,3800
0012,0011,10/06/2024 15:25:44,0003,5700
0013,0023,10/06/2024 15:50:11,0001,2300
0014,0084,10/06/2024 16:10:36,0004,7200
0015,0021,10/06/2024 16:40:02,0002,3850
0016,0024,10/06/2024 17:05:20,0001,2100
0017,0055,11/06/2024 17:30:19,0003,5250
0018,0066,11/06/2024 18:00:44,0002,3950
0019,0077,11/06/2024 18:30:03,0001,2200
0020,0088,11/06/2024 18:55:28,0005,9200
0021,0001,18/06/2024 22:12:40,0001,12990
0022,0001,18/06/2024 22:13:21,0001,12990
0023,0001,18/06/2024 22:13:40,0001,12990
0024,0001,18/06/2024 22:19:26,0001,12990
0025,0001,18/06/2024 22:19:36,0001,12990
0026,0001,18/06/2024 22:24:44,0001,12990
0027,0001,18/06/2024 22:24:59,0001,12990
0028,0001,18/06/2024 22:26:40,0001,12990
0029,0010,18/06/2024 22:58:59,0010,139900
0030,0008,18/06/2024 22:59:07,0016,480000
0031,0005,18/06/2024 22:59:13,0007,118930
0032,0001,18/06/2024 23:06:01,0001,13990
0033,0001,24/06/2024 09:13:43,0001,19990
0034,0002,24/06/2024 09:22:39,0001,7492
0035,0002,24/06/2024 09:24:59,0001,7492
0036,0003,24/06/2024 09:57:27,0001,8990
